	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	genus	species group	species
393283	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariomycetidae	Xylariales		Sporocadaceae	Pestalotiopsis		Pestalotiopsis fici
395010	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales		Mycosphaerellaceae	Zasmidium		Zasmidium cellare
396380	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Verrucariales		Verrucariaceae	Endocarpon		Endocarpon pallidulum
398673	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Hypocreaceae	Trichoderma		Trichoderma gamsii
410836	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Trichomonascaceae	Sugiyamaella		Sugiyamaella japonica
430498	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Orbiliomycetes		Orbiliales		Orbiliaceae	Dactylellina		Dactylellina haptotyla
432096	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Kazachstania		Kazachstania africana
444778	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Dipodascaceae	Yarrowia		Yarrowia phangngaensis
453459	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes		Tremellales		Cryptococcaceae	Kwoniella		Kwoniella pini
456999	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Cantharellales		Ceratobasidiaceae	Rhizoctonia		Rhizoctonia solani
460519	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Komagataella		Komagataella phaffii
460523	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Ogataea		Ogataea polymorpha
463800	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes		Tremellales		Cryptococcaceae	Kwoniella		Kwoniella mangrovensis
468837	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Cordycipitaceae	Lecanicillium		Lecanicillium saksenae
470704	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Cladophialophora		Cladophialophora yegresii
474922	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae	Colletotrichum		Colletotrichum gloeosporioides
479092	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Dipodascaceae	Yarrowia		Yarrowia alimentaria
498019	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Metschnikowiaceae	Clavispora		[Candida] auris
500148	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Clavicipitaceae	Metarhizium		Metarhizium brunneum
502744	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Myriangiales			Endosporium		Endosporium aviarium
523103	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Onygenales		Arthrodermataceae	Trichophyton		Trichophyton mentagrophytes
536035	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Candida		Candida prachuapensis
542766	Eukaryota	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Exobasidiomycetes		Microstromatales			Jaminaea		Jaminaea angkorensis
549293	Eukaryota	Fungi		Mucoromycota	Mucoromycotina	Mucoromycetes		Mucorales		Lichtheimiaceae	Lichtheimia		Lichtheimia hongkongensis
559561	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Dothideales		Saccotheciaceae	Aureobasidium		Aureobasidium namibiae
563466	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Microascales		Microascaceae	Scedosporium		Scedosporium apiospermum
568076	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Clavicipitaceae	Metarhizium		Metarhizium robertsii
569362	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Nectriaceae	Fusarium	Fusarium sambucinum species complex	Fusarium gerlachii
569365	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Cladophialophora		Cladophialophora immunda
575983	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Polyporales		Polyporaceae	Trametes		Trametes cingulata
576137	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales			Phialocephala		Phialocephala subalpina
586133	Eukaryota	Fungi		Microsporidia							Nematocida		Nematocida parisii
588596	Eukaryota	Fungi		Mucoromycota	Glomeromycotina	Glomeromycetes		Glomerales		Glomeraceae	Rhizophagus		Rhizophagus irregularis
599730	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Wickerhamomyces		Wickerhamomyces pijperi
599839	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Polyporales			Fibroporia		Fibroporia radiculosa
655981	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes				Pseudeurotiaceae	Pseudogymnoascus		Pseudogymnoascus destructans
698440	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales		Dermateaceae	Marssonina		Marssonina brunnea
706196	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Saccharomyces		Saccharomyces arboricola
710243	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae	Colletotrichum		Colletotrichum fioriniae
717740	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Hyphopichia		Hyphopichia burtonii
746128	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus fumigatus
749589	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporineae	Didymellaceae	Didymella		Didymella pinodes
764597	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Sordariomycetidae	Diaporthales		Cryphonectriaceae	Chrysoporthe		Chrysoporthe deuterocubensis
796027	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Trichomonascaceae	Sugiyamaella		Sugiyamaella lignohabitans
866546	Eukaryota	Fungi	Dikarya	Ascomycota	Taphrinomycotina	Schizosaccharomycetes		Schizosaccharomycetales		Schizosaccharomycetaceae	Schizosaccharomyces		Schizosaccharomyces cryophilus
870730	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Ogataea		Ogataea angusta
879819	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes		Trichosporonales		Trichosporonaceae	Cutaneotrichosporon		Cutaneotrichosporon oleaginosum
907738	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Cyberlindnera		Cyberlindnera suaveolens
914237	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales			Rhynchosporium		Rhynchosporium commune
914238	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales			Rhynchosporium		Rhynchosporium agropyri
931006	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Cordycipitaceae	Beauveria		Beauveria pseudobassiana
933994	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Trichomonascaceae	Spencermartinsiella		Spencermartinsiella europaea
979981	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Fonsecaea		Fonsecaea multimorphosa
984962	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Russulales		Bondarzewiaceae	Heterobasidion		Heterobasidion irregulare
1005962	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Ogataea		Ogataea parapolymorpha
1033840	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Exophiala		Exophiala aquamarina
1041607	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Wickerhamomyces		Wickerhamomyces ciferrii
1042127	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Dothideales		Saccotheciaceae	Aureobasidium		Aureobasidium subglaciale
1047171	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales		Mycosphaerellaceae	Zymoseptoria		Zymoseptoria tritici
1048829	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Onygenales			Paracoccidioides		Paracoccidioides lutzii
1051613	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Plectosphaerellaceae	Verticillium		Verticillium alfalfae
1051616	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Plectosphaerellaceae	Verticillium		Verticillium nonalfalfae
1071379	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Tetrapisispora		Tetrapisispora blattae
1080349	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Saccharomyces		Saccharomyces eubayanus
1108849	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Penicillium		Penicillium rubens
1173061	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Dipodascaceae	Geotrichum		Geotrichum candidum
1182553	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Cladophialophora		Cladophialophora psammophila
1198502	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Candida		Candida theae
1209934	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales		Glomerellaceae	Colletotrichum		Colletotrichum tamarilloi
1213189	Eukaryota	Fungi		Zoopagomycota	Kickxellomycotina	Harpellomycetes		Harpellales		Legeriomycetaceae	Zancudomyces		Zancudomyces culisetae
1217826	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Xylonomycetes		Xylonales		Xylonaceae	Xylona		Xylona heveae
1288119	Eukaryota	Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Microbotryomycetes		Microbotryales		Microbotryaceae	Microbotryum		Microbotryum cf. violaceum BFL-2013
1316150	Eukaryota	Fungi		Mucoromycota	Glomeromycotina	Glomeromycetes		Diversisporales		Gigasporaceae	Dentiscutata		Dentiscutata heterogama
1331295	Eukaryota	Fungi	Dikarya	Basidiomycota	Agaricomycotina	Agaricomycetes		Auriculariales		Auriculariaceae	Auricularia		Auricularia subglabra
1367422	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Fonsecaea		Fonsecaea erecta
1378263	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Ogataea		Ogataea philodendri
1392244	Eukaryota	Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales		Ustilaginaceae	Kalmanozyma		Kalmanozyma brasiliensis
1441469	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Trichocomaceae	Talaromyces		Talaromyces atroroseus
1460663	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Massarineae	Didymosphaeriaceae	Paraphaeosphaeria		Paraphaeosphaeria sporulosa
1485682	Eukaryota	Fungi		Microsporidia							Mitosporidium		Mitosporidium daphniae
1518595	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Lecanoromycetes	Lecanoromycetidae	Lecanorales	Lecanorineae	Lecanoraceae	Lecanora		Lecanora strobilina
1610689	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Sarocladiaceae	Sarocladium		Sarocladium implicatum
1650735	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales		Clavicipitaceae	Metarhizium		Metarhizium majus
1664694	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Chaetothyriomycetidae	Chaetothyriales		Herpotrichiellaceae	Phialophora		Phialophora attae
1681229	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Onygenales		Ajellomycetaceae	Blastomyces		Blastomyces gilchristii
1708541	Eukaryota	Fungi	Dikarya	Basidiomycota	Wallemiomycotina	Wallemiomycetes		Wallemiales		Wallemiaceae	Wallemia		Wallemia mellicola
1709381	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales		Teratosphaeriaceae	Baudoinia		Baudoinia panamericana
1802957	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Leotiomycetes		Helotiales		Helotiaceae	Cairneyella		Cairneyella variabilis
1873960	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Dothideomycetidae	Capnodiales		Mycosphaerellaceae	Pseudocercospora		Pseudocercospora fijiensis
