	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
256	2.0	976.0		117743.0		200644.0		49546.0			76831.0			256.0	
258	2.0	976.0		117747.0		200666.0		84566.0			28453.0			258.0	
259	2.0	976.0		117747.0		200666.0		84566.0			28453.0			259.0	
263	2.0	1224.0		1236.0		72273.0		34064.0			262.0			263.0	
266	2.0	1224.0		28211.0		204455.0		31989.0			265.0			266.0	
271	2.0	1297.0		188787.0		68933.0		188786.0			270.0			271.0	
274	2.0	1297.0		188787.0		68933.0		188786.0			270.0			274.0	
276	2.0	1297.0		188787.0		68933.0		188786.0			270.0			276.0	
277	2.0	1297.0		188787.0		68933.0		188786.0			65551.0			277.0	
280	2.0	1224.0		28211.0		356.0		335928.0			279.0			280.0	
285	2.0	1224.0		28216.0		80840.0		80864.0			283.0			285.0	
287	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136841.0	287.0	
288	2.0	1224.0		1236.0		135622.0		267888.0			53246.0			288.0	
292	2.0	1224.0		28216.0		80840.0		119060.0			32008.0		87882.0	292.0	
293	2.0	1224.0		28211.0		204458.0		76892.0			41275.0			293.0	
294	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136843.0	294.0	
296	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136842.0	296.0	
298	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136843.0	298.0	
300	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136841.0	300.0	
301	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136841.0	301.0	
303	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136845.0	303.0	
305	2.0	1224.0		28216.0		80840.0		119060.0			48736.0			305.0	
316	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136846.0	316.0	
317	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136849.0	317.0	
329	2.0	1224.0		28216.0		80840.0		119060.0			48736.0			329.0	
330	2.0	1224.0		1236.0		72274.0		135621.0			286.0		136841.0	330.0	
337	2.0	1224.0		28216.0		80840.0		119060.0			32008.0			337.0	
339	2.0	1224.0		1236.0		135614.0		32033.0			338.0			339.0	
343	2.0	1224.0		1236.0		135614.0		32033.0			338.0			343.0	
346	2.0	1224.0		1236.0		135614.0		32033.0			338.0		643453.0	346.0	
347	2.0	1224.0		1236.0		135614.0		32033.0			338.0			347.0	
353	2.0	1224.0		1236.0		72274.0		135621.0	351.0		352.0			353.0	
354	2.0	1224.0		1236.0		72274.0		135621.0	351.0		352.0			354.0	
358	2.0	1224.0		28211.0		356.0		82115.0			357.0		1183400.0	358.0	
359	2.0	1224.0		28211.0		356.0		82115.0			357.0			359.0	
373	2.0	1224.0		28211.0		356.0		82115.0			357.0			373.0	
375	2.0	1224.0		28211.0		356.0		41294.0			374.0			375.0	
376	2.0	1224.0		28211.0		356.0		41294.0			374.0			376.0	
380	2.0	1224.0		28211.0		356.0		82115.0			28105.0		663276.0	380.0	
381	2.0	1224.0		28211.0		356.0		69277.0			68287.0			381.0	
382	2.0	1224.0		28211.0		356.0		82115.0			28105.0			382.0	
384	2.0	1224.0		28211.0		356.0		82115.0			379.0			384.0	
396	2.0	1224.0		28211.0		356.0		82115.0			379.0			396.0	
398	2.0	1224.0		28211.0		356.0		82115.0			379.0			398.0	
399	2.0	1224.0		28211.0		356.0		82115.0			1525371.0			399.0	
405	2.0	1224.0		28216.0		32003.0		32011.0			404.0			405.0	
406	2.0	1224.0		28216.0		32003.0		32011.0			404.0			406.0	
408	2.0	1224.0		28211.0		356.0		119045.0			2282523.0			408.0	
414	2.0	1224.0		1236.0		135618.0		403.0			413.0			414.0	
415	2.0	1224.0		1236.0		135618.0		403.0			429.0			415.0	
421	2.0	1224.0		1236.0		135618.0		403.0			416.0			421.0	
426	2.0	1224.0		28211.0		356.0		31993.0			425.0			426.0	
435	2.0	1224.0		28211.0		204441.0		433.0			434.0	151157.0		435.0	
436	2.0	1224.0		28211.0		204441.0		433.0			1434011.0			436.0	
437	2.0	1224.0		28211.0		204441.0		433.0			34000.0			437.0	
438	2.0	1224.0		28211.0		204441.0		433.0			434.0			438.0	
442	2.0	1224.0		28211.0		204441.0		433.0			441.0			442.0	
446	2.0	1224.0		1236.0		118969.0		444.0			445.0			446.0	
447	2.0	1224.0		1236.0		118969.0		444.0			461.0			447.0	
448	2.0	1224.0		1236.0		118969.0		444.0			445.0			448.0	
449	2.0	1224.0		1236.0		118969.0		444.0			445.0			449.0	
450	2.0	1224.0		1236.0		118969.0		444.0			445.0			450.0	
451	2.0	1224.0		1236.0		118969.0		444.0			465.0			451.0	
452	2.0	1224.0		1236.0		118969.0		444.0			445.0			452.0	
453	2.0	1224.0		1236.0		118969.0		444.0			445.0			453.0	
454	2.0	1224.0		1236.0		118969.0		444.0			445.0			454.0	
455	2.0	1224.0		1236.0		118969.0		444.0			445.0			455.0	
456	2.0	1224.0		1236.0		118969.0		444.0			445.0			456.0	
458	2.0	1224.0		1236.0		118969.0		444.0			445.0			458.0	
460	2.0	1224.0		1236.0		118969.0		444.0			445.0			460.0	
463	2.0	1224.0		1236.0		118969.0		444.0			461.0			463.0	
464	2.0	1224.0		1236.0		118969.0		444.0			461.0			464.0	
466	2.0	1224.0		1236.0		118969.0		444.0			465.0			466.0	
470	2.0	1224.0		1236.0		72274.0		468.0			469.0		909768.0	470.0	
471	2.0	1224.0		1236.0		72274.0		468.0			469.0		909768.0	471.0	
476	2.0	1224.0		1236.0		72274.0		468.0			475.0			476.0	
477	2.0	1224.0		1236.0		72274.0		468.0			475.0			477.0	
478	2.0	1224.0		1236.0		72274.0		468.0			475.0			478.0	
480	2.0	1224.0		1236.0		72274.0		468.0			475.0			480.0	
483	2.0	1224.0		28216.0		206351.0		481.0			482.0			483.0	
484	2.0	1224.0		28216.0		206351.0		481.0			482.0			484.0	
485	2.0	1224.0		28216.0		206351.0		481.0			482.0			485.0	
486	2.0	1224.0		28216.0		206351.0		481.0			482.0			486.0	
487	2.0	1224.0		28216.0		206351.0		481.0			482.0			487.0	
488	2.0	1224.0		28216.0		206351.0		481.0			482.0			488.0	
489	2.0	1224.0		28216.0		206351.0		481.0			482.0			489.0	
490	2.0	1224.0		28216.0		206351.0		481.0			482.0			490.0	
494	2.0	1224.0		28216.0		206351.0		481.0			334108.0			494.0	
495	2.0	1224.0		28216.0		206351.0		481.0			482.0			495.0	
496	2.0	1224.0		28216.0		206351.0		481.0			482.0			496.0	
500	2.0	200795.0		189775.0		189776.0		189777.0			499.0			500.0	
502	2.0	1224.0		28216.0		206351.0		481.0			32257.0			502.0	
504	2.0	1224.0		28216.0		206351.0		481.0			32257.0			504.0	
505	2.0	1224.0		28216.0		206351.0		481.0			32257.0			505.0	
511	2.0	1224.0		28216.0		80840.0		506.0			507.0			511.0	
518	2.0	1224.0		28216.0		80840.0		506.0			517.0			518.0	
519	2.0	1224.0		28216.0		80840.0		506.0			517.0			519.0	
520	2.0	1224.0		28216.0		80840.0		506.0			517.0			520.0	
521	2.0	1224.0		28216.0		80840.0		506.0			517.0			521.0	
523	2.0	1224.0		28211.0		204441.0		433.0			522.0			523.0	
524	2.0	1224.0		28211.0		204441.0		433.0			522.0			524.0	
525	2.0	1224.0		28211.0		204441.0		433.0			50709.0			525.0	
526	2.0	1224.0		28211.0		204441.0		433.0			522.0			526.0	
529	2.0	1224.0		28211.0		356.0		118882.0			528.0			529.0	
531	2.0	976.0		117743.0		200644.0		49546.0			52959.0			531.0	
533	2.0	1224.0		28211.0		356.0		45404.0			532.0			533.0	
536	2.0	1224.0		28216.0		206351.0		1499392.0			535.0			536.0	
539	2.0	1224.0		28216.0		206351.0		481.0			538.0			539.0	
542	2.0	1224.0		28211.0		204457.0		41297.0			541.0			542.0	
545	2.0	1224.0		1236.0		91347.0		543.0			544.0			545.0	
546	2.0	1224.0		1236.0		91347.0		543.0			544.0		1344959.0	546.0	
548	2.0	1224.0		1236.0		91347.0		543.0			570.0			548.0	
549	2.0	1224.0		1236.0		91347.0		1903409.0			53335.0		1654067.0	549.0	
550	2.0	1224.0		1236.0		91347.0		543.0			547.0		354276.0	550.0	
552	2.0	1224.0		1236.0		91347.0		1903409.0			551.0			552.0	
553	2.0	1224.0		1236.0		91347.0		1903409.0			53335.0			553.0	
554	2.0	1224.0		1236.0		91347.0		1903410.0			122277.0			554.0	
556	2.0	1224.0		1236.0		91347.0		1903410.0			204037.0			556.0	
562	2.0	1224.0		1236.0		91347.0		543.0			561.0			562.0	
563	2.0	1224.0		1236.0		91347.0		543.0			1335483.0			563.0	
564	2.0	1224.0		1236.0		91347.0		543.0			561.0			564.0	
565	2.0	1224.0		1236.0		91347.0		543.0			1903434.0			565.0	
566	2.0	1224.0		1236.0		91347.0		543.0			2055880.0			566.0	
569	2.0	1224.0		1236.0		91347.0		1903412.0			568.0			569.0	
571	2.0	1224.0		1236.0		91347.0		543.0			570.0			571.0	
573	2.0	1224.0		1236.0		91347.0		543.0			570.0			573.0	
575	2.0	1224.0		1236.0		91347.0		543.0			160674.0			575.0	
577	2.0	1224.0		1236.0		91347.0		543.0			160674.0			577.0	
580	2.0	1224.0		1236.0		91347.0		543.0			579.0			580.0	
582	2.0	1224.0		1236.0		91347.0		1903414.0			581.0			582.0	
584	2.0	1224.0		1236.0		91347.0		1903414.0			583.0			584.0	
