	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
1211388	Viruses							Tymovirales		Betaflexiviridae	Quinvirinae		Foveavirus			Apple green crinkle associated virus			
1211417	Viruses															uncultured crAssphage			
1211480	Viruses			Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Rhabdoviridae			Cytorhabdovirus			Persimmon virus A			
1211481	Viruses															Persimmon latent virus			
1211640	Viruses							Caudovirales		Siphoviridae						Caulobacter phage CcrColossus			
1211641	Viruses							Caudovirales		Siphoviridae			Phicbkvirus			Caulobacter virus Karma			
1211642	Viruses							Caudovirales		Siphoviridae			Phicbkvirus			Caulobacter virus Magneto			
1211643	Viruses							Caudovirales		Siphoviridae			Phicbkvirus			Caulobacter virus Rogue			
1211644	Viruses							Caudovirales		Siphoviridae			Phicbkvirus			Caulobacter virus Swift			
1211706	Bacteria			Firmicutes		Bacilli		Bacillales		Planococcaceae			Paenisporosarcina			Paenisporosarcina sp. TG20			
1211777	Bacteria			Proteobacteria		Alphaproteobacteria		Rhizobiales		Rhizobiaceae			Rhizobium			Rhizobium mesoamericanum			
1211813	Bacteria			Bacteroidetes		Bacteroidia		Bacteroidales		Rikenellaceae			Alistipes			Alistipes ihumii			
1211814	Bacteria			Firmicutes		Bacilli		Bacillales		Bacillaceae			Bacillus			Bacillus massilioanorexius			
1211815	Bacteria			Actinobacteria		Actinobacteria		Geodermatophilales		Geodermatophilaceae			Blastococcus			Candidatus Blastococcus massiliensis			
1211817	Bacteria			Firmicutes		Clostridia		Clostridiales		Clostridiaceae			Clostridium			Clostridium ihumii			
1211818	Bacteria			Firmicutes		Clostridia		Clostridiales		Lachnospiraceae			Dorea			Candidatus Dorea massiliensis			
1211819	Bacteria			Firmicutes		Erysipelotrichia		Erysipelotrichales		Erysipelotrichaceae			Holdemania			Holdemania massiliensis			
1211843	Bacteria			Firmicutes		Clostridia		Clostridiales		Ruminococcaceae			Candidatus Soleaferrea			Candidatus Soleaferrea massiliensis			
1211844	Bacteria			Firmicutes		Erysipelotrichia		Erysipelotrichales		Erysipelotrichaceae			Candidatus Stoquefichus			Candidatus Stoquefichus massiliensis			
1212489	Bacteria			Proteobacteria		Gammaproteobacteria		Legionellales		Legionellaceae			Legionella			Legionella drozanskii			
1212491	Bacteria			Proteobacteria		Gammaproteobacteria		Legionellales		Legionellaceae			Legionella			Legionella fallonii			
1212493	Eukaryota	Fungi		Chytridiomycota		Neocallimastigomycetes		Neocallimastigales		Neocallimastigaceae			Oontomyces			Oontomyces anksri			
1212545	Bacteria			Firmicutes		Bacilli		Bacillales		Staphylococcaceae			Staphylococcus			Staphylococcus arlettae			
1212546	Bacteria			Firmicutes		Bacilli		Bacillales		Bacillaceae			Anoxybacillus			Anoxybacillus kamchatkensis			
