	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	genus	species group	species
5480	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1535326.0		5480.0
5482	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1535326.0		5482.0
5486	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	1535326.0		5486.0
5501	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0			5500.0		5501.0
5507	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5506.0	171631.0	5507.0
5516	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5506.0	569360.0	5516.0
5518	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5506.0	569360.0	5518.0
5530	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		34397.0	5529.0		5530.0
5551	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	5550.0		5551.0
5599	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	5598.0	187734.0	5599.0
5606	2759.0	4751.0	451864.0	4890.0	451866.0						5605.0		5606.0
5619	2759.0	4751.0	451864.0	5204.0	5302.0	155616.0		5234.0		1884633.0	5618.0		5619.0
5970	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451870.0	34395.0		43219.0	5583.0		5970.0
6035	2759.0	4751.0		6029.0					6032.0	36734.0	6033.0		6035.0
13349	2759.0	4751.0	451864.0	4890.0	147538.0	189478.0		189479.0		47021.0	13348.0		13349.0
13684	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	5020.0	1351751.0		13684.0
27288	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	278028.0		27288.0
27289	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	278028.0		27289.0
27291	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4930.0		27291.0
27292	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4930.0		27292.0
27293	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	71245.0		27293.0
27300	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766758.0		27300.0
27322	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		27319.0	27320.0		27322.0
27334	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5073.0		27334.0
27337	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	1028384.0		1033978.0	1036719.0		27337.0
27357	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	1028384.0		681950.0	5455.0		27357.0
27381	2759.0	4751.0		1913637.0	214504.0	214506.0		36750.0		36751.0	1117308.0		27381.0
27973	2759.0	4751.0		6029.0					6032.0	36734.0	6033.0		27973.0
28550	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766758.0		28550.0
28564	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		28568.0	5094.0		28564.0
28985	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4910.0		28985.0
29833	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		34365.0	29832.0		29833.0
29852	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		5129.0	5130.0		29852.0
29855	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		110618.0	5133.0		29855.0
29875	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		5129.0	5543.0		29875.0
29883	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0	452333.0	5338.0		5351.0	29882.0		29883.0
29884	2759.0	4751.0	451864.0	5204.0	5302.0	155619.0		5303.0		5317.0	5314.0		29884.0
29898	2759.0	4751.0	451864.0	5204.0	29000.0	162481.0		231213.0		1799696.0	5533.0		29898.0
29908	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5151.0		5152.0	29907.0		29908.0
31281	2759.0	4751.0		6029.0					6032.0	27970.0	27971.0		31281.0
31870	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	1028384.0		681950.0	5455.0		31870.0
33169	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	33170.0		33169.0
33178	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		33178.0
33188	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		33184.0	33187.0		33188.0
33203	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		474942.0	1052105.0		33203.0
34349	2759.0	4751.0	451864.0	5204.0	29000.0	432025.0		432026.0		165795.0	34348.0		34349.0
34356	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		27319.0	77850.0		34356.0
34391	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		34384.0	34390.0		34391.0
34480	2759.0	4751.0		1913638.0	1264859.0	1399768.0		1264872.0		4858.0	4859.0		34480.0
34485	2759.0	4751.0		1913638.0	1264859.0	1399770.0		4857.0		34481.0	34484.0		34485.0
34488	2759.0	4751.0		1913638.0	1264859.0	1399770.0		4857.0		34486.0	34487.0		34488.0
35629	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4948.0		35629.0
35717	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		34397.0	5112.0		35717.0
35720	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		35718.0	35719.0		35720.0
35722	2759.0	4751.0		1913637.0	451507.0	2212703.0		4827.0	1344963.0	34489.0	35721.0		35722.0
36015	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		1156497.0	4919.0		36015.0
