	superkingdom	phylum	subphylum	class	order	suborder	family	subfamily	genus	subgenus	species
64186	10239.0				28883.0		10699.0		1623304.0		64186.0
66284	10239.0				28883.0		10662.0				66284.0
67082	10239.0						10240.0	10241.0			67082.0
67571	10239.0				28883.0		10744.0				67571.0
68887	10239.0						687329.0				68887.0
69609	10239.0				28883.0		10662.0	1198136.0	10663.0		69609.0
71366	10239.0				28883.0		10699.0		1623274.0		71366.0
72197	10239.0						10780.0	40119.0	40121.0		72197.0
72638	10239.0				28883.0		10699.0		1623304.0		72638.0
73422	10239.0				28883.0		10699.0		1623303.0		73422.0
77775	10239.0				28883.0		10662.0	1985285.0	1198140.0		1985310.0
78541	10239.0				28883.0		10699.0		1623303.0		78541.0
83129	10239.0				28883.0		10699.0		1623305.0		83129.0
85154	10239.0				28883.0		10699.0		1623303.0		85154.0
85454	10239.0				675063.0		675064.0		12176.0		85454.0
90410	10239.0				28883.0		10699.0		1623304.0		90410.0
93465	10239.0				2169561.0		11632.0				93465.0
93678	10239.0						687329.0		687332.0		93678.0
99179	10239.0				28883.0		10699.0				99179.0
99182	10239.0				2169561.0		11632.0	327045.0	153135.0		99182.0
101570	10239.0				28883.0		10699.0				101570.0
103216	10239.0				28883.0		10662.0	857479.0	140410.0		103216.0
103807	10239.0				28883.0		10662.0				103807.0
106284	10239.0				28883.0		10699.0		1623298.0		106284.0
107324	10239.0				2169561.0		186534.0		1232640.0		107324.0
112023	10239.0				28883.0		10699.0		1623304.0		112023.0
112227	10239.0				675063.0		675064.0		12176.0		112227.0
112229	10239.0				675063.0		675064.0		12176.0		112229.0
113370	10239.0						43682.0		43680.0		113370.0
114416	10239.0				28883.0		10699.0				114416.0
115987	10239.0				28883.0		10662.0		1921527.0		115987.0
115991	10239.0				28883.0		10662.0	1198136.0	1985328.0		115991.0
119910	10239.0						2169577.0		12137.0		119910.0
120574	10239.0				28883.0		10699.0				120574.0
129009	10239.0				28883.0		10699.0		1623274.0		129009.0
129862	10239.0										129862.0
129951	10239.0						10508.0		10509.0		129951.0
130308	10239.0						10508.0		10509.0		130308.0
130309	10239.0						10508.0		10509.0		130309.0
130310	10239.0						10508.0		10509.0		130310.0
130478	10239.0				28883.0		10699.0		1623273.0		130478.0
139871	10239.0				28883.0		10662.0				139871.0
139872	10239.0				28883.0		10699.0				139872.0
146269	10239.0				28883.0		10699.0				146269.0
146500	10239.0						39729.0		12195.0		146500.0
151534	10239.0				28883.0		10699.0				151534.0
151535	10239.0				28883.0		10699.0				151535.0
151536	10239.0				28883.0		10699.0				151536.0
151537	10239.0				28883.0		10699.0				151537.0
151538	10239.0				28883.0		10699.0				151538.0
151539	10239.0				28883.0		10699.0				151539.0
151599	10239.0				28883.0		10699.0				151599.0
155148	10239.0				28883.0		10744.0		186794.0		155148.0
157239	10239.0				28883.0		10662.0	857479.0	1196844.0		157239.0
157924	10239.0				28883.0		10699.0				157924.0
159150	10239.0	2497569.0	2497571.0	2497576.0	1980410.0		1980416.0		11572.0		159150.0
169683	10239.0				28883.0		10662.0		680115.0		169683.0
173443	10239.0				28883.0		10744.0		186794.0		173443.0
175950	10239.0				28883.0		10662.0				175950.0
176652	10239.0						10486.0	2017757.0	10487.0		176652.0
180230	10239.0				548681.0		548682.0		692606.0		180230.0
180504	10239.0				28883.0		10699.0		1623297.0		180504.0
186152	10239.0				28883.0		10699.0		1623273.0		186152.0
186153	10239.0				28883.0		10699.0		1623274.0		186153.0
186772	10239.0						186766.0		186767.0		186772.0
187764	10239.0				28883.0		10744.0	542835.0	542837.0		187764.0
188763	10239.0				548681.0		10292.0	10357.0	10358.0		188763.0
194699	10239.0				28883.0		10744.0		542959.0		194699.0
194701	10239.0				28883.0		10662.0	857479.0	140410.0		194701.0
196242	10239.0				28883.0		10699.0				196242.0
196403	10239.0				2169561.0		11632.0	327045.0	153135.0		196403.0
197310	10239.0				28883.0		10662.0	1198136.0	10663.0		1914209.0
198110	10239.0				28883.0		10662.0		680115.0		198110.0
198112	10239.0				464095.0		699189.0		232799.0		198112.0
198539	10239.0				28883.0		10699.0				198539.0
198540	10239.0				28883.0		10699.0				198540.0
198542	10239.0				28883.0						198542.0
198543	10239.0				28883.0		10699.0				198543.0
205870	10239.0				28883.0		10699.0		186764.0		205870.0
205872	10239.0				28883.0		10699.0	2169597.0	1623282.0		205872.0
205879	10239.0				28883.0		10699.0		1623292.0		205879.0
209529	10239.0				464095.0		232795.0		144051.0		209529.0
213769	10239.0				28883.0		10699.0		1623305.0		213769.0
213775	10239.0				28883.0		10699.0		1623305.0		213775.0
215167	10239.0				28883.0		10699.0		1623273.0		215167.0
221029	10239.0				28883.0		10744.0		186794.0		221029.0
221915	10239.0				28883.0		10662.0	857473.0	1857843.0		221915.0
225979	10239.0				28883.0		10699.0				225979.0
227720	10239.0				28883.0		10744.0	542835.0	110456.0		227720.0
227940	10239.0				28883.0		10662.0	857479.0	140410.0		227940.0
233894	10239.0				28883.0		10662.0		1921527.0		233894.0
238854	10239.0				28883.0		10662.0	1198136.0			238854.0
242527	10239.0				28883.0		10744.0		1720323.0		242527.0
243560	10239.0						39729.0		12195.0		243560.0
244310	10239.0				28883.0		10662.0		1198138.0		244310.0
247080	10239.0						10860.0				247080.0
255431	10239.0				28883.0		10699.0				255431.0
259901	10239.0				28883.0		10699.0		1623274.0		259901.0
260149	10239.0				28883.0		10662.0	1198136.0			260149.0
268746	10239.0				28883.0		10662.0	1198136.0			268746.0
273133	10239.0				28883.0		10662.0		1984786.0		1984787.0
277944	10239.0				76804.0	2499399.0	11118.0	2501931.0	693996.0	2509512.0	277944.0
279006	10239.0				28883.0		10662.0	1198136.0			279006.0
279303	10239.0				28883.0		10699.0				279303.0
280701	10239.0				28883.0		10744.0		1720324.0		280701.0
287412	10239.0				28883.0		10699.0		1623305.0		287412.0
292029	10239.0				28883.0		10662.0	857473.0	1857843.0		292029.0
293644	10239.0				28883.0		10699.0	1910976.0	1910991.0		2005701.0
298334	10239.0						10508.0		10509.0		298334.0
298338	10239.0				28883.0		10662.0	857473.0			298338.0
306323	10239.0				28883.0		10699.0		1623303.0		306323.0
307456	10239.0						10442.0		558016.0		307456.0
307898	10239.0				28883.0		10662.0	857473.0	1857843.0		307898.0
317858	10239.0				548681.0		548682.0		692606.0		317858.0
317878	10239.0				548681.0		548682.0		692606.0		317878.0
320122	10239.0				28883.0		10662.0		1912144.0		320122.0
320831	10239.0										320831.0
320834	10239.0				28883.0		10699.0		1623298.0		320834.0
320835	10239.0				28883.0		10699.0		1623298.0		320835.0
320836	10239.0				28883.0		10699.0		1623274.0		320836.0
320837	10239.0				28883.0		10699.0		1623273.0		320837.0
320839	10239.0				28883.0		10699.0		1623273.0		320839.0
320842	10239.0				28883.0		10699.0		1623298.0		320842.0
320843	10239.0				28883.0		10699.0		1623298.0		320843.0
320844	10239.0				28883.0		10699.0		1623298.0		320844.0
320845	10239.0				28883.0		10699.0		1623298.0		320845.0
320846	10239.0				28883.0		10699.0		1623298.0		320846.0
320847	10239.0				28883.0		10699.0		1623298.0		320847.0
320848	10239.0				28883.0		10699.0		1623298.0		320848.0
320849	10239.0				28883.0		10699.0		1623298.0		320849.0
320850	10239.0				28883.0		10699.0		1623298.0		320850.0
321023	10239.0				28883.0		10662.0		1921527.0		321023.0
326036	10239.0				28883.0		10699.0		1623298.0		326036.0
326037	10239.0				28883.0		10699.0		1623298.0		326037.0
327387	10239.0						675071.0		12234.0		327387.0
329381	10239.0				28883.0		10662.0	1198136.0	1985328.0		329381.0
329864	10239.0				28883.0		10744.0		186794.0		329864.0
333754	10239.0						151340.0	2169595.0	333750.0		333754.0
333926	10239.0						151340.0	2169595.0	325455.0		333926.0
334207	10239.0						151340.0	2169595.0	333922.0		334207.0
337039	10239.0						151340.0	2169595.0	333750.0		337039.0
337041	10239.0						151340.0	2169595.0	333750.0		337041.0
337043	10239.0						151340.0	2169595.0	333750.0		337043.0
337051	10239.0						151340.0	2169595.0	333922.0		337051.0
338473	10239.0				28883.0		10744.0	542836.0			338473.0
340054	10239.0				28883.0		10744.0				340054.0
344021	10239.0				28883.0		10744.0	542835.0	110456.0		344021.0
344022	10239.0				28883.0		10744.0	542835.0	542837.0		344022.0
345195	10239.0						10486.0	2017757.0	10487.0		345195.0
345198	10239.0						10486.0	2017757.0	10487.0		345198.0
345199	10239.0						10486.0	2017757.0	10487.0		345199.0
345585	10239.0						10486.0	2017757.0	10487.0		345585.0
345922	10239.0				28883.0		10699.0		1623308.0		345922.0
347324	10239.0				28883.0		10699.0				347324.0
347328	10239.0				28883.0		10699.0		1299429.0		347328.0
347329	10239.0				28883.0		10662.0		1198980.0		2006175.0
347962	10239.0				28883.0		10699.0		1623308.0		347962.0
348058	10239.0				28883.0		10744.0		186794.0		348058.0
348137	10239.0				28883.0		10699.0				348137.0
348604	10239.0				28883.0		10662.0	1198136.0	10663.0		348604.0
354260	10239.0				28883.0		10699.0				354260.0
354328	10239.0						564644.0		2003394.0		354328.0
359919	10239.0						10442.0		558017.0		359919.0
359961	10239.0				28883.0		10699.0		1623308.0		359961.0
360398	10239.0				28883.0		10699.0		1623274.0		360398.0
362693	10239.0						564644.0		2003394.0		362693.0
364745	10239.0						10442.0		558017.0		364745.0
365048	10239.0				28883.0		10662.0		2169625.0		2170221.0
368735	10239.0						675071.0		12234.0		368735.0
369960	10239.0				2169561.0		11632.0	327045.0	153135.0		369960.0
374810	10239.0				28883.0		10744.0	1981156.0	1981157.0		374810.0
374840	10239.0						10841.0	1910950.0	1910954.0		374840.0
374844	10239.0						10841.0	1910950.0	1910952.0		1986034.0
379329	10239.0				28883.0		10744.0	1981156.0	1981157.0		379329.0
379501	10239.0				28883.0		10699.0		1623298.0		379501.0
381899	10239.0						10501.0		181083.0		381899.0
386793	10239.0				28883.0		10744.0	542835.0	477967.0		1985731.0
387905	10239.0				28883.0		10699.0		1623298.0		387905.0
387908	10239.0				28883.0		10699.0		1623298.0		387908.0
387909	10239.0				28883.0		10699.0		1623274.0		387909.0
387910	10239.0				28883.0		10699.0		1623298.0		387910.0
389469	10239.0				28883.0		10699.0		1623286.0		389469.0
393049	10239.0						687329.0				393049.0
393598	10239.0				28883.0		10662.0	857479.0	1196844.0		393598.0
394036	10239.0						39729.0		12195.0		394036.0
396034	10239.0				28883.0		10662.0		2169625.0		396034.0
397353	10239.0				28883.0		10699.0		1623286.0		397353.0
398839	10239.0				28883.0		10699.0		1623298.0		398839.0
399185	10239.0				28883.0		10699.0		1623298.0		399185.0
403905	10239.0				28883.0		10699.0				403905.0
405947	10239.0				28883.0		10699.0		1623298.0		405947.0
406340	10239.0				28883.0		10662.0	857479.0	140410.0		406340.0
413066	10239.0				28883.0		10699.0				413066.0
413258	10239.0						10508.0		10509.0		413258.0
414970	10239.0				28883.0		10699.0				414970.0
424716	10239.0				28883.0		10699.0		1982370.0		424716.0
424944	10239.0				28883.0		10699.0	1910976.0	1910991.0		2005700.0
424947	10239.0				28883.0		10699.0	1910976.0	1910991.0		2005692.0
424949	10239.0				28883.0		10699.0	1910976.0	1910991.0		2005694.0
425279	10239.0						675071.0		12234.0		425279.0
430796	10239.0				28883.0		10699.0		1623273.0		430796.0
432198	10239.0				28883.0		10699.0		2169654.0		2169920.0
432200	10239.0				28883.0		10699.0		2169654.0		2169922.0
432201	10239.0				28883.0		10699.0		2169654.0		2169923.0
442493	10239.0				28883.0		10662.0	857473.0			2058935.0
444860	10239.0				28883.0		10662.0				444860.0
444861	10239.0				28883.0		10662.0	1198136.0			444861.0
444862	10239.0				28883.0		10662.0				444862.0
445515	10239.0				28883.0		10699.0		1623274.0		445515.0
445516	10239.0				28883.0		10699.0		1623273.0		445516.0
445517	10239.0				28883.0		10699.0		1623274.0		445517.0
445684	10239.0				28883.0		10662.0				445684.0
445696	10239.0				28883.0		10662.0				445696.0
445700	10239.0				28883.0		10662.0				445700.0
447909	10239.0				28883.0		10699.0				447909.0
448384	10239.0				28883.0		10662.0	1198136.0	1913651.0		1985353.0
451705	10239.0				28883.0		10662.0				451705.0
454798	10239.0				28883.0		2169529.0	2169531.0	2169536.0		1987157.0
459845	10239.0				28883.0		10699.0		1623303.0		459845.0
462590	10239.0				28883.0		10699.0		1299429.0		462590.0
485724	10239.0	2497569.0	2497571.0	2497576.0	1980410.0		1980416.0		11611.0		485724.0
487152	10239.0				28883.0		10699.0		1623298.0		487152.0
489828	10239.0						10841.0	1910950.0	1910951.0		489828.0
489829	10239.0						10841.0	1910950.0	1910952.0		1986034.0
489830	10239.0						10442.0		558017.0		489830.0
490913	10239.0				28883.0		10744.0				490913.0
491003	10239.0				28883.0		10699.0		187218.0		491003.0
493803	10239.0						151341.0		1891713.0		1891726.0
494269	10239.0				28883.0		10699.0		1623305.0		494269.0
496874	10239.0				28883.0		10699.0				496874.0
504346	10239.0				28883.0		10699.0				504346.0
505291	10239.0				28883.0		10699.0		1623286.0		505291.0
505292	10239.0				28883.0		10699.0		1623286.0		505292.0
529929	10239.0				28883.0		10744.0	542835.0	110456.0		529929.0
532074	10239.0				28883.0		10744.0	542835.0	110456.0		532074.0
532075	10239.0				28883.0		10744.0	542835.0	110456.0		532075.0
532076	10239.0				28883.0		10744.0	542835.0	110456.0		532076.0
536079	10239.0						10508.0		10509.0		536079.0
536444	10239.0				28883.0		10662.0				536444.0
537874	10239.0				28883.0		10699.0				537874.0
538398	10239.0				28883.0		10662.0		1198980.0		2006179.0
546805	10239.0				28883.0		10662.0				546805.0
549445	10239.0				28883.0		10662.0		1198980.0		2006177.0
549446	10239.0				28883.0		10662.0		1198980.0		2006178.0
551895	10239.0				28883.0		10662.0		1980938.0		551895.0
557289	10239.0				28883.0		10662.0				557289.0
561996	10239.0				28883.0		10699.0	2169597.0	2169611.0		561996.0
563769	10239.0				28883.0		10699.0				563769.0
564886	10239.0				28883.0		10699.0				564886.0
573591	10239.0				28883.0		10699.0				573591.0
575610	10239.0				28883.0		10699.0		1623273.0		575610.0
578234	10239.0				28883.0		10699.0				578234.0
581037	10239.0				28883.0		10662.0		1198980.0		2006174.0
582382	10239.0				28883.0		10662.0		1198980.0		2006180.0
590739	10239.0				28883.0		10744.0		186794.0		590739.0
590745	10239.0				2169561.0		11632.0	327045.0	153135.0		590745.0
631345	10239.0						2022639.0		2022640.0		631345.0
632112	10239.0				28883.0		10662.0	857473.0			632112.0
633135	10239.0				28883.0		10699.0		1623304.0		633135.0
637730	10239.0				28883.0		2169529.0	2169530.0	2169532.0		1987994.0
641487	10239.0				28883.0		10699.0				641487.0
644007	10239.0				28883.0		10699.0				644007.0
644524	10239.0				28883.0		10744.0		1720323.0		644524.0
646413	10239.0				28883.0		10699.0				646413.0
648017	10239.0				28883.0		10699.0		1623274.0		648017.0
663241	10239.0				28883.0		10699.0				663241.0
665033	10239.0				28883.0		10662.0		186777.0		665033.0
665883	10239.0				28883.0		10699.0		1623305.0		665883.0
665884	10239.0				28883.0		10699.0		1623305.0		665884.0
668618	10239.0				28883.0		10699.0		1623274.0		668618.0
669008	10239.0				28883.0		10744.0	542835.0	110456.0		669008.0
673839	10239.0				28883.0		10699.0				673839.0
682370	10239.0				28883.0		10699.0		1623303.0		682370.0
683172	10239.0						39733.0				683172.0
683735	10239.0				28883.0		10662.0				683735.0
687340	10239.0						687329.0		687331.0		687340.0
687341	10239.0						687329.0		687331.0		687341.0
687342	10239.0						687329.0		687331.0		687342.0
687343	10239.0						687329.0		687331.0		687343.0
687345	10239.0						687329.0		687331.0		687345.0
687346	10239.0						687329.0		687331.0		687346.0
687347	10239.0						687329.0		687331.0		687347.0
687349	10239.0						687329.0		687331.0		687349.0
687351	10239.0						687329.0		687331.0		687351.0
687353	10239.0						687329.0		687331.0		687353.0
687354	10239.0						687329.0		687331.0		687354.0
687355	10239.0						687329.0		687331.0		687355.0
687358	10239.0						687329.0		687331.0		687358.0
687365	10239.0						687329.0		687331.0		687365.0
687366	10239.0						687329.0		687331.0		687366.0
687367	10239.0						687329.0		687331.0		687367.0
687370	10239.0						687329.0		687332.0		687370.0
687371	10239.0						687329.0		687332.0		687371.0
687374	10239.0						687329.0		687332.0		687374.0
687379	10239.0						687329.0		687333.0		687379.0
687380	10239.0						687329.0		687333.0		687380.0
687800	10239.0				28883.0		10662.0				687800.0
693582	10239.0				28883.0		10744.0	542835.0	477967.0		693582.0
694060	10239.0				28883.0		10662.0	1985285.0	1198140.0		694060.0
699370	10239.0				28883.0		10662.0				699370.0
707757	10239.0				28883.0		10662.0	1198136.0	1985328.0		1985337.0
711470	10239.0				28883.0		10699.0		186764.0		2003504.0
714583	10239.0				28883.0		10744.0		186794.0		714583.0
722755	10239.0						39740.0		12316.0		722755.0
745088	10239.0				28883.0		10699.0	2169599.0	2169622.0		2170246.0
746830	10239.0						151341.0		1891715.0		746830.0
746831	10239.0						151341.0		1891715.0		746831.0
749413	10239.0										749413.0
749447	10239.0				28883.0		10662.0		1198980.0		2006171.0
754038	10239.0				28883.0		10662.0				754038.0
754039	10239.0				28883.0		10662.0				754039.0
754042	10239.0				28883.0		10699.0				754042.0
754051	10239.0				28883.0		10699.0		1982370.0		754051.0
754059	10239.0				28883.0		10744.0	542835.0			754059.0
760732	10239.0				28883.0		10662.0	1198136.0			760732.0
764561	10239.0				28883.0		10699.0				764561.0
764562	10239.0				28883.0		10699.0				764562.0
857312	10239.0				28883.0		10662.0	857473.0			857312.0
867696	10239.0				28883.0		2169529.0	2169531.0	1298971.0		1987993.0
872294	10239.0				28883.0		10699.0		1623298.0		872294.0
874267	10239.0				28883.0		10699.0		1623274.0		874267.0
876449	10239.0				28883.0		10744.0		186794.0		876449.0
881915	10239.0				28883.0		10744.0	542835.0	477967.0		1985729.0
889956	10239.0				28883.0		10662.0				889956.0
906668	10239.0				28883.0		10699.0		2169654.0		2169925.0
906669	10239.0				28883.0		10699.0				906669.0
908819	10239.0				28883.0		10662.0				908819.0
909210	10239.0						10508.0		10509.0		1986019.0
925984	10239.0				28883.0		10662.0				925984.0
926067	10239.0				28883.0		10662.0	1198136.0			926067.0
929814	10239.0				28883.0		10662.0	857479.0	140410.0		929814.0
929833	10239.0				28883.0		10662.0				929833.0
930881	10239.0						39729.0		12195.0		930881.0
936054	10239.0				28883.0		10744.0	1981156.0	1981159.0		936054.0
937835	10239.0				28883.0		10699.0		1623286.0		937835.0
