	superkingdom	phylum	subphylum	class	order	suborder	family	subfamily	genus	subgenus	species
454798	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Cba120virus		Salmonella virus Det7
459845	Viruses				Caudovirales		Siphoviridae		Sfi11virus		Streptococcus virus 858
462590	Viruses				Caudovirales		Siphoviridae		Yuavirus		Pseudomonas virus Yua
485724	Viruses	Negarnaviricota	Polyploviricotina	Ellioviricetes	Bunyavirales		Peribunyaviridae		Tospovirus		Melon severe mosaic tospovirus
487152	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus virus phiMR25
489828	Viruses						Microviridae	Bullavirinae	Alpha3microvirus		Enterobacteria phage WA13 sensu lato
489829	Viruses						Microviridae	Bullavirinae	G4microvirus		Escherichia virus G4
489830	Viruses						Baculoviridae		Betabaculovirus		Helicoverpa armigera granulovirus
490913	Viruses				Caudovirales		Podoviridae				Sulfitobacter phage EE36phi1
491003	Viruses				Caudovirales		Siphoviridae		T5virus		Escherichia virus EPS7
493803	Viruses						Polyomaviridae		Alphapolyomavirus		Human polyomavirus 5
494269	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus virus Bibb29
496874	Viruses				Caudovirales		Siphoviridae				Lactobacillus phage Lrm1
504346	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage PAJU2
505291	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas virus MP29
505292	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas virus MP38
529929	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Salmonella phage phiSG-JL2
532074	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Enterobacteria phage BA14
532075	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Enterobacteria phage EcoDS1
532076	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Enterobacteria phage 13a
536079	Viruses						Adenoviridae		Mastadenovirus		Human mastadenovirus G
536444	Viruses				Caudovirales		Myoviridae				Cyanophage P-RSM1
537874	Viruses				Caudovirales		Siphoviridae				Streptococcus phage PH15
538398	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus PB1
546805	Viruses				Caudovirales		Myoviridae				Mycobacterium phage Myrna
549445	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus LBL3
549446	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus LMA2
551895	Viruses				Caudovirales		Myoviridae		Msw3virus		Iodobacteriophage phiPLPE
557289	Viruses				Caudovirales		Myoviridae				Burkholderia phage KS10
561996	Viruses				Caudovirales		Siphoviridae	Chebruvirinae	Brujitavirus		Mycobacterium virus Brujita
563769	Viruses				Caudovirales		Siphoviridae				Stx2-converting phage 1717
564886	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage YYZ-2008
573591	Viruses				Caudovirales		Siphoviridae				Stenotrophomonas phage S1
575610	Viruses				Caudovirales		Siphoviridae		Triavirus		Staphylococcus virus IPLA35
578234	Viruses				Caudovirales		Siphoviridae				Lactobacillus phage Lv-1
581037	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus 141
582382	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus SN
590739	Viruses				Caudovirales		Podoviridae		P22virus		Salmonella phage g341c
590745	Viruses				Ortervirales		Retroviridae	Orthoretrovirinae	Gammaretrovirus		Mus musculus mobilized endogenous polytropic provirus
631345	Viruses						Solinviviridae		Invictavirus		Solenopsis invicta virus 3
632112	Viruses				Caudovirales		Myoviridae	Spounavirinae			Lactobacillus virus Lb338-1
633135	Viruses				Caudovirales		Siphoviridae		Sfi21dt1virus		Streptococcus virus phiAbc2
637730	Viruses				Caudovirales		Ackermannviridae	Aglimvirinae	Ag3virus		Shigella virus AG3
641487	Viruses				Caudovirales		Siphoviridae				Lactococcus phage P087
644007	Viruses				Caudovirales		Siphoviridae				Streptococcus phage PH10
644524	Viruses				Caudovirales		Podoviridae		Bcep22virus		Burkholderia virus Bcepil02
646413	Viruses				Caudovirales		Siphoviridae				Streptococcus phage 5093
648017	Viruses				Caudovirales		Siphoviridae		Biseptimavirus		Staphylococcus phage phiPVL-CN125
663241	Viruses				Caudovirales		Siphoviridae				Enterococcus phage phiEf11
665033	Viruses				Caudovirales		Myoviridae		Muvirus		Escherichia phage D108
665883	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus virus CB13
665884	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus virus CB14
668618	Viruses				Caudovirales		Siphoviridae		Biseptimavirus		Staphylococcus phage P954
669008	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Enterobacteria phage 285P
673839	Viruses				Caudovirales		Siphoviridae				Enterococcus phage phiFL4A
682370	Viruses				Caudovirales		Siphoviridae		Sfi11virus		Streptococcus virus ALQ132
683172	Viruses						Astroviridae				Astrovirus MLB2
683735	Viruses				Caudovirales		Myoviridae				Aggregatibacter phage S1249
687340	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 1
687341	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 2
687342	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 3
687343	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 4
687345	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 6
687346	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 7
687347	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 8
687349	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 10
687351	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 12
687353	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 14
687354	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 15
687355	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 16
687358	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 19
687365	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 26
687366	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 27
687367	Viruses						Anelloviridae		Alphatorquevirus		Torque teno virus 28
687370	Viruses						Anelloviridae		Betatorquevirus		Torque teno mini virus 2
687371	Viruses						Anelloviridae		Betatorquevirus		Torque teno mini virus 3
687374	Viruses						Anelloviridae		Betatorquevirus		Torque teno mini virus 6
687379	Viruses						Anelloviridae		Gammatorquevirus		Torque teno midi virus 1
687380	Viruses						Anelloviridae		Gammatorquevirus		Torque teno midi virus 2
687800	Viruses				Caudovirales		Myoviridae				Synechococcus phage S-RIM2
693582	Viruses				Caudovirales		Podoviridae	Autographivirinae	Phikmvvirus		Pseudomonas phage phi-2
694060	Viruses				Caudovirales		Myoviridae	Ounavirinae	Felixo1virus		Staphylococcus phage SA1
699370	Viruses				Caudovirales		Myoviridae				Thermus phage TMA
707757	Viruses				Caudovirales		Myoviridae	Tevenvirinae	Kp15virus		Klebsiella virus KP15
711470	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium virus Redrock
714583	Viruses				Caudovirales		Podoviridae		P22virus		Salmonella phage ST160
722755	Viruses						Bromoviridae		Ilarvirus		Lilac leaf chlorosis virus
745088	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Una4virus		Leuconostoc virus 1A4
746830	Viruses						Polyomaviridae		Deltapolyomavirus		Human polyomavirus 6
746831	Viruses						Polyomaviridae		Deltapolyomavirus		Human polyomavirus 7
749413	Viruses										Deep-sea thermophilic phage D6E
749447	Viruses				Caudovirales		Myoviridae		Pbunavirus		Pseudomonas virus JG024
754038	Viruses				Caudovirales		Myoviridae				Synechococcus phage S-CAM8
754039	Viruses				Caudovirales		Myoviridae				Synechococcus phage S-IOM18
754042	Viruses				Caudovirales		Siphoviridae				Synechococcus phage S-SKS1
754051	Viruses				Caudovirales		Siphoviridae		Pis4avirus		Vibrio phage pYD38-A
754059	Viruses				Caudovirales		Podoviridae	Autographivirinae			Synechococcus phage S-CBP4
760732	Viruses				Caudovirales		Myoviridae	Tevenvirinae			Acinetobacter phage Acj61
764561	Viruses				Caudovirales		Siphoviridae				Brochothrix phage NF5
764562	Viruses				Caudovirales		Siphoviridae				Brochothrix phage BL3
857312	Viruses				Caudovirales		Myoviridae	Spounavirinae			Brochothrix phage A9
867696	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Vi1virus		Salmonella virus ViI
872294	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus virus SAP26
874267	Viruses				Caudovirales		Siphoviridae		Biseptimavirus		Staphylococcus phage phi5967PVL
876449	Viruses				Caudovirales		Podoviridae		P22virus		Enterobacteria phage UAB_Phi20
881915	Viruses				Caudovirales		Podoviridae	Autographivirinae	Phikmvvirus		Pantoea virus Limelight
889956	Viruses				Caudovirales		Myoviridae				Prochlorococcus phage MED4-213
906668	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus HK75
906669	Viruses				Caudovirales		Siphoviridae				Escherichia phage HK639
908819	Viruses				Caudovirales		Myoviridae				Flavobacterium phage FCL-2
909210	Viruses						Adenoviridae		Mastadenovirus		Simian mastadenovirus F
925984	Viruses				Caudovirales		Myoviridae				Erwinia phage phiEt88
926067	Viruses				Caudovirales		Myoviridae	Tevenvirinae			Aeromonas phage PX29
929814	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Salmonella phage RE-2010
929833	Viruses				Caudovirales		Myoviridae				Rhizobium phage RR1-A
930881	Viruses						Potyviridae		Potyvirus		Sweet potato virus C
936054	Viruses				Caudovirales		Podoviridae	Sepvirinae	Tl2011virus		Enterobacteria phage VT2phi_272
937835	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas virus PA1KOR
938131	Viruses				Caudovirales		Siphoviridae		Che8virus		Mycobacterium virus Wee
947843	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Erwinia phage ENT90
947981	Viruses				Caudovirales		Siphoviridae				Lactobacillus phage Sha1
948870	Viruses				Caudovirales		Myoviridae				Enterobacteria phage phi92
977801	Viruses				Caudovirales		Podoviridae	Picovirinae			Enterococcus phage EF62phi
977927	Viruses				Caudovirales		Siphoviridae		T5virus		Salmonella virus SPC35
979726	Viruses				Caudovirales		Podoviridae	Autographivirinae	Sp6virus		Enterobacteria phage UAB_Phi78
981330	Viruses				Caudovirales		Siphoviridae				Tsukamurella phage TPA2
984186	Viruses				Caudovirales		Myoviridae				Cronobacter phage ENT47670
985782	Viruses						Mimiviridae				Moumouvirus
994672	Viruses						Adenoviridae		Mastadenovirus		Platyrrhini mastadenovirus A
1005056	Viruses				Caudovirales		Siphoviridae		Chivirus		Salmonella virus iEPS5
1007127	Viruses				Caudovirales		Myoviridae	Spounavirinae	Kayvirus		Staphylococcus phage Sb-1
1007869	Viruses				Caudovirales		Myoviridae				Rhodococcus phage E3
1026955	Viruses				Caudovirales		Myoviridae				Synechococcus phage S-CRM01
1051631	Viruses				Caudovirales		Siphoviridae		Sfi21dt1virus		Streptococcus phage YMC-2011
1051676	Viruses				Caudovirales		Myoviridae				Erwinia phage vB_EamM-Y2
1054480	Viruses				Caudovirales		Myoviridae	Tevenvirinae	T4virus		Escherichia phage wV7
1071503	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium virus Trixie
1074044	Viruses						Inoviridae				uncultured phage WW-nAnB
1076630	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium phage AnnaL29
1079999	Viruses				Caudovirales		Myoviridae	Tevenvirinae			Synechococcus phage metaG-MbCM1
1080237	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage phiPto-bp6g
1090133	Viruses				Caudovirales		Podoviridae		P22virus		Enterobacteria phage IME10
1091052	Viruses				Caudovirales		Ackermannviridae	Aglimvirinae	Limestonevirus		Dickeya virus Limestone
1091556	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas virus LPB1
1100043	Viruses										Apis mellifera filamentous virus
1105171	Viruses				Caudovirales		Siphoviridae				Bacteroides phage B124-14
1112008	Viruses				Caudovirales		Siphoviridae		T5virus		Escherichia virus AKFV33
1115478	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella virus SE2
1124654	Viruses				Caudovirales		Podoviridae		Epsilon15virus		Escherichia phage TL-2011b
1127357	Viruses				Caudovirales		Podoviridae		P22virus		Salmonella phage SPN9CC
1127514	Viruses				Caudovirales		Myoviridae				Aeromonas phage vB_AsaM-56
1129145	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage phi297
1129146	Viruses				Caudovirales		Siphoviridae		D3virus		Pseudomonas virus PMG1
1129147	Viruses				Caudovirales		Myoviridae	Tevenvirinae	Kp15virus		Klebsiella virus KP27
1129194	Viruses				Caudovirales		Myoviridae				Xanthomonas phage vB_XveM_DIBBI
1131316	Viruses										Rhodobacter phage RcapNL
1136535	Viruses				Caudovirales		Podoviridae		Bcep22virus		Burkholderia virus DC1
1141136	Viruses				Caudovirales		Myoviridae				Cronobacter phage vB_CsaM_GAP32
1141138	Viruses				Caudovirales		Myoviridae	Tevenvirinae	Kp15virus		Cronobacter phage vB_CsaM_GAP161
1141139	Viruses				Caudovirales		Podoviridae	Autographivirinae	Sp6virus		Enterobacteria phage vB_EcoP_ACG-C91
1141519	Viruses				Caudovirales		Podoviridae	Autographivirinae			Escherichia phage phiKT
1141625	Viruses						Astroviridae				Murine astrovirus
1147042	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage StB12
1147043	Viruses				Caudovirales		Siphoviridae				Staphylococcus phage StB20
1147044	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage StB27
1147140	Viruses				Caudovirales		Siphoviridae				Salmonella phage SPN3UB
1147143	Viruses				Caudovirales		Siphoviridae		Hk97virus		Enterobacteria phage HK140
1147144	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage HK225
1147145	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus HK446
1147146	Viruses				Caudovirales		Siphoviridae		Lambdavirus		Escherichia virus HK630
1147147	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus HK633
1147148	Viruses				Caudovirales		Siphoviridae		Lambdavirus		Escherichia virus HK629
1147149	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage mEp043 c-1
1147150	Viruses				Caudovirales		Siphoviridae		Hk97virus		Enterobacteria phage mEp235
1147151	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage mEp237
1147152	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage mEp460
1147153	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus mEpX1
1147154	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus mEpX2
1147156	Viruses				Caudovirales		Siphoviridae				Enterobacterial phage mEp213
1147157	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus mEp234
1147158	Viruses				Caudovirales		Siphoviridae		Hk97virus		Enterobacterial phage mEp390
1150869	Viruses				Caudovirales		Podoviridae	Sepvirinae	Tl2011virus		Escherichia phage P13374
1161903	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage MP42
1161930	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus Lmd1
1163482	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella virus Ent1
1165134	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus virus ASCC191
1165702	Viruses				Caudovirales		Siphoviridae		Triavirus		Staphylococcus phage phi7401PVL
1168548	Viruses				Caudovirales		Podoviridae		P22virus		Salmonella phage vB_SemP_Emek
1168549	Viruses				Caudovirales		Siphoviridae				Salmonella phage vB_SosS_Oslo
1168563	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Stenotrophomonas phage Smp131
1168612	Viruses				Caudovirales		Siphoviridae		Triavirus		Staphylococcus phage SMSAP5
1168613	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage TEM123
1173769	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Salmonella phage FSL SP-004
1175662	Viruses				Caudovirales		Siphoviridae		Septima3virus		Pseudomonas phage PaMx42
1177632	Viruses				Caudovirales		Siphoviridae				Salmonella phage SSU5
1187128	Viruses				Caudovirales		Myoviridae		Ap22virus		Acinetobacter virus AP22
1188792	Viruses						Endornaviridae		Alphaendornavirus		Phaseolus vulgaris alphaendornavirus 1
1188795	Viruses				Caudovirales		Podoviridae				Xanthomonas citri phage CP2
1194641	Viruses				Caudovirales		Siphoviridae				Bacillus phage BtCS33
1195068	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage StauST398-1
1195071	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage StauST398-3
1195085	Viruses				Caudovirales		Myoviridae		Spn3virus		Cronobacter phage CR5
1195086	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage SA13
1197952	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus virus IPLA5
1197953	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus virus IPLA7
1204178	Viruses				Caudovirales		Podoviridae		Una961virus		Helicobacter virus KHP40
1204515	Viruses				Caudovirales		Siphoviridae		Che8virus		Mycobacterium virus Taj
1204523	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Vi1virus		Escherichia virus ECML4
1204528	Viruses				Caudovirales		Ackermannviridae	Aglimvirinae	Ag3virus		Salmonella virus SKML39
1204537	Viruses				Caudovirales		Siphoviridae		Phicbkvirus		Caulobacter virus phiCbK
1206110	Viruses				Caudovirales		Myoviridae				Lactobacillus phage phiAQ113
1211417	Viruses										uncultured crAssphage
1211640	Viruses				Caudovirales		Siphoviridae				Caulobacter phage CcrColossus
1211641	Viruses				Caudovirales		Siphoviridae		Phicbkvirus		Caulobacter virus Karma
1211642	Viruses				Caudovirales		Siphoviridae		Phicbkvirus		Caulobacter virus Magneto
1211643	Viruses				Caudovirales		Siphoviridae		Phicbkvirus		Caulobacter virus Rogue
1211644	Viruses				Caudovirales		Siphoviridae		Phicbkvirus		Caulobacter virus Swift
1221835	Viruses				Caudovirales		Siphoviridae				Acinetobacter phage Bphi-B1251
1223259	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage JBD24
1223260	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage JBD30
1223261	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage JBD5
1223262	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage JBD88a
1225789	Viruses				Caudovirales		Myoviridae				Enterobacteria phage SfI
1225791	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage JBD18
1225792	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage JBD25
1229751	Viruses				Caudovirales		Siphoviridae				Lactococcus phage BM13
1235645	Viruses				Caudovirales		Siphoviridae		Pa6virus		Propionibacterium phage PHL010M04
1235649	Viruses				Caudovirales		Siphoviridae		Pa6virus		Propionibacterium phage PHL067M10
1235689	Viruses				Caudovirales		Podoviridae				Pseudomonas phage AF
1236000	Viruses				Caudovirales		Myoviridae		Msw3virus		Klebsiella phage JD001
1239381	Viruses				Caudovirales		Siphoviridae				Streptococcus phage phiNJ2
1262515	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus LN03
1262516	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus LN04
1262517	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus LN12
1262518	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Una4virus		Leuconostoc virus LN25
1262519	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Una4virus		Leuconostoc virus LN34
1262520	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus LN6B
1262521	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Una4virus		Leuconostoc virus LNTR3
1262522	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Lmd1virus		Leuconostoc virus P793
1262523	Viruses				Caudovirales		Siphoviridae	Mccleskeyvirinae	Una4virus		Leuconostoc phage phiLNTR2
1262532	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium phage BTCU-1
1262533	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus phage 340
1262535	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus phage jm2
1262536	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus phage jm3
1262537	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus phage P680
1262538	Viruses				Caudovirales		Siphoviridae		Sk1virus		Lactococcus phage phi7
1267169	Viruses				Caudovirales		Siphoviridae				Streptococcus phage phiBHN167
1273712	Viruses				Caudovirales		Siphoviridae		Biseptimavirus		Staphylococcus phage JS01
1273741	Viruses				Caudovirales		Siphoviridae		Andromedavirus		Bacillus virus Eoghan
1277672	Viruses				Caudovirales		Siphoviridae		Triavirus		Staphylococcus phage StauST398-2
1278479	Viruses				Caudovirales		Myoviridae				Cyanophage S-RIM32
1279082	Viruses				Caudovirales		Myoviridae		Cvm10virus		Pseudomonas phage PPpW-3
1301279	Viruses						Iridoviridae	Betairidovirinae	Iridovirus		Invertebrate iridovirus 22
1301280	Viruses						Iridoviridae	Betairidovirinae	Iridovirus		Invertebrate iridovirus 25
1305708	Viruses				Caudovirales		Siphoviridae				Clostridium phage vB_CpeS-CP51
1307800	Viruses						Flaviviridae		Pegivirus		Pegivirus A
1307804	Viruses				Caudovirales		Myoviridae	Tevenvirinae	Kp15virus		Escherichia phage Lw1
1308896	Viruses				Caudovirales		Siphoviridae		Biseptimavirus		Staphylococcus phage StauST398-4
1308897	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage StauST398-5
1315956	Viruses				Caudovirales		Siphoviridae	Tunavirinae			Shigella phage pSf-1
1325731	Viruses				Caudovirales		Podoviridae				Flavobacterium phage 6H
1325963	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella virus L13
1327771	Viruses				Caudovirales		Siphoviridae		Che8virus		Mycobacterium phage Job42
1327772	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium phage Jobu08
1327773	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium phage PattyP
1327985	Viruses				Caudovirales		Podoviridae				Cellulophaga phage phi46:3
1330524	Viruses				Picornavirales		Picornaviridae		Salivirus		Salivirus A
1340534	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella virus Jersey
1340830	Viruses				Caudovirales		Siphoviridae	Bclasvirinae			Mycobacterium phage KayaCho
1341019	Viruses						Parvoviridae	Parvovirinae			Parvovirus NIH-CQV
1347760	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage SA12
1352230	Viruses				Caudovirales						Thermus phage phi OH2
1354511	Viruses				Caudovirales		Siphoviridae		L5virus		Mycobacterium phage Anubis
1357825	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Enterobacteria phage fiAA91-ss
1385385	Viruses				Caudovirales		Siphoviridae		Sfi11virus		Streptococcus phage TP-778L
1391190	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage MP48
1391224	Viruses				Caudovirales		Myoviridae	Tevenvirinae	Rb69virus		Escherichia phage vB_EcoM_PhAPEC2
1391702	Viruses						Virgaviridae		Tobamovirus		Tomato mottle mosaic virus
1392231	Viruses				Caudovirales		Siphoviridae		Sfi11virus		Streptococcus phage 20617
1399949	Viruses				Caudovirales		Siphoviridae		Triavirus		Staphylococcus phage YMC/09/04/R1988
1401669	Viruses				Caudovirales		Siphoviridae				Erwinia phage PhiEaH1
1403390	Viruses				Caudovirales		Siphoviridae				Staphylococcus phage phiRS7
1406788	Viruses				Caudovirales		Siphoviridae		Andromedavirus		Bacillus virus Riggi
1406794	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Vi1virus		Salmonella virus Marshall
1406795	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Vi1virus		Salmonella virus Maynard
1407493	Viruses				Caudovirales		Myoviridae				Shigella phage SfIV
1411095	Viruses				Caudovirales		Myoviridae		Cd119virus		Clostridium phage CDMH1
1414655	Viruses	Negarnaviricota	Polyploviricotina	Ellioviricetes	Bunyavirales		Peribunyaviridae		Tospovirus		Pepper chlorotic spot virus
1414736	Viruses				Caudovirales		Siphoviridae				Lactobacillus phage J-1
1414737	Viruses				Caudovirales		Siphoviridae				Rhizobium phage vB_RleS_L338C
1415146	Viruses				Caudovirales		Podoviridae	Autographivirinae	Pradovirus		Xylella virus Prado
1416334	Viruses				Caudovirales		Myoviridae				Lactobacillus phage phi jlb1
1432856	Viruses				Picornavirales		Dicistroviridae				Formica exsecta virus 1
1434323	Viruses				Caudovirales		Myoviridae	Tevenvirinae	T4virus		Escherichia virus HY01
1436889	Viruses				Caudovirales		Podoviridae		Phieco32virus		Escherichia virus Septima11
1445728	Viruses				Caudovirales		Siphoviridae		Che8virus		Mycobacterium phage Saal
1445860	Viruses				Caudovirales		Myoviridae	Tevenvirinae	S16virus		Salmonella phage STP4-a
1446489	Viruses				Caudovirales		Siphoviridae		T5virus		Escherichia virus FFH1
1448273	Viruses				Caudovirales		Siphoviridae				Streptococcus phage DCC1738
1448274	Viruses				Caudovirales		Siphoviridae				Streptococcus phage K13
1448276	Viruses				Caudovirales		Siphoviridae				Streptococcus phage IC1
1449437	Viruses										Pseudomonas phage vB_PaeP_Tr60_Ab31
1449896	Viruses						Inoviridae				Uncultured phage WW-nAnB strain 2
1449897	Viruses						Inoviridae				Uncultured phage WW-nAnB strain 3
1450169	Viruses				Caudovirales		Siphoviridae				Pseudomonas phage phi2
1455075	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Citrobacter phage CR44b
1458842	Viruses				Caudovirales		Siphoviridae				Geobacillus phage GBK2
1458843	Viruses				Caudovirales		Myoviridae				Pseudomonas phage phiPsa374
1458849	Viruses				Caudovirales		Ackermannviridae	Cvivirinae	Vi1virus		Salmonella virus SJ2
1460070	Viruses						Inoviridae				Ralstonia phage 1 NP-2014
1463809	Viruses				Caudovirales		Siphoviridae	Bclasvirinae			Mycobacterium phage 39HC
1463811	Viruses				Caudovirales		Siphoviridae	Bclasvirinae			Mycobacterium phage Hosp
1463812	Viruses				Caudovirales		Siphoviridae	Bclasvirinae			Mycobacterium phage Jolie1
1464127	Viruses				Caudovirales		Siphoviridae		Phietavirus		Staphylococcus phage DW2
1465613	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella phage vB_SenS-Ent3
1465618	Viruses				Caudovirales		Siphoviridae	Guernseyvirinae	Jerseyvirus		Salmonella phage vB_SenS-Ent2
1472342	Viruses						Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 15
1474867	Viruses						Phycodnaviridae				Aureococcus anophagefferens virus
1476886	Viruses				Caudovirales		Siphoviridae				Lactococcus phage P078
1476887	Viruses				Caudovirales		Siphoviridae				Lactococcus phage P092
1476888	Viruses				Caudovirales		Siphoviridae				Lactococcus phage P118
1476889	Viruses				Caudovirales		Siphoviridae				Lactococcus phage P162
1477406	Viruses				Caudovirales		Ackermannviridae	Aglimvirinae	Limestonevirus		Dickeya virus RC2014
1481224	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas phage JD024
1486428	Viruses				Caudovirales		Siphoviridae				Enterococcus phage EFC-1
